GCFID	SpeciesStrain	SpeciesID	SpeciesTaxnonmy	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
GCF_002561355.1	Bacillus cereus	Bacillus-cereus	Bacillus cereus	PRJNA224116	SAMN07597449	NTUK00000000.1	na	1396	1396	Bacillus cereus	strain=AFS016599		latest	Scaffold	Major	Full	2017/10/16	ASM256135v1	UNC Chapel Hill	GCA_002561355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/561/355/GCF_002561355.1_ASM256135v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
GCF_004365735.1	Bacillus subtilis	Bacillus-subtilis	Bacillus subtilis	PRJNA224116	SAMN09074953	SOBO00000000.1	na	1423	1423	Bacillus subtilis	strain=140B		latest	Scaffold	Major	Full	2019/3/22	ASM436573v1	DOE Joint Genome Institute	GCA_004365735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/365/735/GCF_004365735.1_ASM436573v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
GCF_001894545.1	Escherichia coli	Escherichia-coli	Escherichia coli	PRJNA224116	SAMN05929000	MOKP00000000.1	na	562	562	Escherichia coli	strain=566		latest	Scaffold	Major	Full	2016/12/8	ASM189454v1	College of Veterinary Medicine,China Agricultural University	GCA_001894545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/894/545/GCF_001894545.1_ASM189454v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_002195535.1	Escherichia coli	Escherichia-coli	Escherichia coli	PRJNA224116	SAMN06005833	NHVS00000000.1	na	562	562	Escherichia coli	strain=UMDUCD-O157-2016-S81		latest	Contig	Major	Full	2017/6/15	ASM219553v1	FDA/CFSAN	GCA_002195535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/195/535/GCF_002195535.1_ASM219553v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_014169915.1	Escherichia coli	Escherichia-coli	Escherichia coli	PRJNA224116	SAMD00194706		na	562	562	Escherichia coli	strain=BEC1-S17-ESBL-09		latest	Complete Genome	Major	Full	2020/7/21	ASM1416991v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_014169915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/915/GCF_014169915.1_ASM1416991v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_017775775.1	Escherichia coli	Escherichia-coli	Escherichia coli	PRJNA224116	SAMN17379975	JAESOG000000000.1	na	562	562	Escherichia coli	strain=PMK-38868		latest	Contig	Major	Full	2021/4/5	ASM1777577v1	APHP, Hopital Robert Debre, IAME, UMR1137	GCA_017775775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/775/775/GCF_017775775.1_ASM1777577v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_003989375.1	Corynebacterium pseudodiphtheriticum	Corynebacterium-pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum	PRJNA224116	SAMN10118502	RBLR00000000.1	na	37637	37637	Corynebacterium pseudodiphtheriticum	strain=HSID17241		latest	Contig	Major	Full	2018/12/31	ASM398937v1	University of Wisconsin-Madison	GCA_003989375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/989/375/GCF_003989375.1_ASM398937v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum
GCF_008693105.1	Corynebacterium flavescens	Corynebacterium-flavescens	Corynebacterium flavescens	PRJNA224116	SAMN12771119	VXKK00000000.1	na	28028	28028	Corynebacterium flavescens	strain=CCUG 28791T		latest	Contig	Major	Full	2019/9/24	ASM869310v1	University of Gothenburg - CCUG	GCA_008693105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/105/GCF_008693105.1_ASM869310v1	NA	assembly from type material	na	Bacteria	norank	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium flavescens
GCF_015830695.1	Corynebacterium diphtheriae bv. mitis	Corynebacterium-diphtheriae	Corynebacterium diphtheriae	PRJNA224116	SAMN14209784	JADQUS000000000.1	na	1806053	1717	Corynebacterium diphtheriae bv. mitis	strain=08-16		latest	Contig	Major	Full	2020/12/7	ASM1583069v1	AGES	GCA_015830695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/830/695/GCF_015830695.1_ASM1583069v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
GCF_903986345.1	Corynebacterium diphtheriae	Corynebacterium-diphtheriae	Corynebacterium diphtheriae	PRJNA224116	SAMEA7052198	CAJDYK000000000.1	na	1717	1717	Corynebacterium diphtheriae		YEM0044	latest	Contig	Major	Full	2020/7/30	YEM0044	INSTITUT PASTEUR	GCA_903986345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/986/345/GCF_903986345.1_YEM0044	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
GCF_000255375.1	Ureaplasma urealyticum 2033	Ureaplasma-urealyticum	Ureaplasma urealyticum	PRJNA224116	SAMN02436385	AJFX00000000.1	na	1161914	2130	Ureaplasma urealyticum 2033	strain=2033		latest	Contig	Major	Full	2012/3/20	Uurealyticum2033v1.0	The J. Craig Venter Institute	GCA_000255375.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/375/GCF_000255375.1_Uurealyticum2033v1.0	NA		na	Bacteria	norank	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma urealyticum
GCF_002205535.1	Ureaplasma parvum	Ureaplasma-parvum	Ureaplasma parvum	PRJNA224116	SAMN07245421		na	134821	134821	Ureaplasma parvum	strain=hebnu3h05		latest	Complete Genome	Major	Full	2017/6/22	ASM220553v1	HeBei North University	GCA_002205535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/205/535/GCF_002205535.1_ASM220553v1	NA		na	Bacteria	norank	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma parvum
GCF_006716515.1	Ureaplasma parvum	Ureaplasma-parvum	Ureaplasma parvum	PRJNA224116	SAMN12061317		na	134821	134821	Ureaplasma parvum	strain=106		latest	Complete Genome	Major	Full	2019/7/8	ASM671651v1	Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	GCA_006716515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/515/GCF_006716515.1_ASM671651v1	NA		na	Bacteria	norank	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma parvum
GCF_006716625.1	Ureaplasma urealyticum	Ureaplasma-urealyticum	Ureaplasma urealyticum	PRJNA224116	SAMN12061318		na	2130	2130	Ureaplasma urealyticum	strain=132		latest	Complete Genome	Major	Full	2019/7/8	ASM671662v1	Sir Run Run Shaw Hospital, Zhejiang University School of Medicine	GCA_006716625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/625/GCF_006716625.1_ASM671662v1	NA		na	Bacteria	norank	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma urealyticum
GCF_000173535.1	Chlamydia trachomatis 70s	Chlamydia-trachomatis	Chlamydia trachomatis	PRJNA224116	SAMN02470779	ABYG00000000.1	na	564419	813	Chlamydia trachomatis 70s		70s	latest	Chromosome	Major	Full	2009/1/30	ASM17353v1	Oregon State University	GCA_000173535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/535/GCF_000173535.1_ASM17353v1	NA		na	Bacteria	norank	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
GCF_000441695.1	Chlamydia trachomatis RC-L2(s)/3	Chlamydia-trachomatis	Chlamydia trachomatis	PRJNA224116	SAMN02603702		na	907268	813	Chlamydia trachomatis RC-L2(s)/3	strain=RC-L2(s)/3		latest	Complete Genome	Major	Full	2013/7/26	ASM44169v1	Oregon State University	GCA_000441695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/441/695/GCF_000441695.1_ASM44169v1	NA		na	Bacteria	norank	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
GCF_019405225.1	Chlamydia suis	Chlamydia-suis	Chlamydia suis	PRJNA224116	SAMN16409682		na	83559	83559	Chlamydia suis	strain=12.2.7.4-1		latest	Chromosome	Major	Full	2021/7/30	ASM1940522v1	University of Zurich	GCA_019405225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/405/225/GCF_019405225.1_ASM1940522v1	NA		na	Bacteria	norank	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia suis
GCF_900118675.1	Chlamydia abortus	Chlamydia-abortus	Chlamydia abortus	PRJNA224116	SAMEA1094347	FPLV00000000.1	na	83555	83555	Chlamydia abortus	strain=C15_98		latest	Contig	Major	Full	2017/5/10	7067_6#44	WTSI	GCA_900118675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/118/675/GCF_900118675.1_7067_6_44	NA		na	Bacteria	norank	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia abortus
GCF_000006725.1	Xylella fastidiosa 9a5c	Xylella-fastidiosa	Xylella fastidiosa	PRJNA224116	SAMN02603773		na	160492	2371	Xylella fastidiosa 9a5c	strain=9a5c		latest	Complete Genome	Major	Full	2004/6/4	ASM672v1	Sao Paulo state (Brazil) Consortium	GCA_000006725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_009669375.1	Xylella fastidiosa subsp. multiplex	Xylella-fastidiosa	Xylella fastidiosa	PRJNA224116	SAMN11866310	VCPN00000000.1	na	644357	2371	Xylella fastidiosa subsp. multiplex	strain=IVIA6731		latest	Contig	Major	Full	2019/11/18	ASM966937v1	XF-ACTORS	GCA_009669375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/669/375/GCF_009669375.1_ASM966937v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_009669425.1	Xylella fastidiosa subsp. multiplex	Xylella-fastidiosa	Xylella fastidiosa	PRJNA224116	SAMN11867883	VCPP00000000.1	na	644357	2371	Xylella fastidiosa subsp. multiplex	strain=IVIA6903		latest	Contig	Major	Full	2019/11/18	ASM966942v1	XF-ACTORS	GCA_009669425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/669/425/GCF_009669425.1_ASM966942v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_900129695.1	Xylella fastidiosa	Xylella-fastidiosa	Xylella fastidiosa	PRJNA224116	SAMN05660380	FQWN00000000.1	na	2371	2371	Xylella fastidiosa	strain=DSM 10026		latest	Scaffold	Major	Full	2016/12/3	IMG-taxon 2595698223 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900129695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/695/GCF_900129695.1_IMG-taxon_2595698223_annotated_assembly	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_000256485.1	Vibrio splendidus 12F01	Vibrio-splendidus	Vibrio splendidus	PRJNA224116	SAMN02470437	AIDS00000000.1	na	530557	29497	Vibrio splendidus 12F01	strain=12F01		latest	Contig	Major	Full	2012/3/26	Vsplend_12F01_1.0	Massachusetts Institute of Technology	GCA_000256485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/256/485/GCF_000256485.1_Vsplend_12F01_1.0	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio splendidus
GCF_002114205.1	Vibrio cholerae	Vibrio-cholerae	Vibrio cholerae	PRJNA224116	SAMN06711158	NCTY00000000.1	na	666	666	Vibrio cholerae	strain=617		latest	Contig	Major	Full	2017/4/28	ASM211420v1	Russia Research Anti-Plague Institute \Microbe\	GCA_002114205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/114/205/GCF_002114205.1_ASM211420v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
GCF_015686715.1	Vibrio cholerae	Vibrio-cholerae	Vibrio cholerae	PRJNA224116	SAMN16805798	JADPRD000000000.1	na	666	666	Vibrio cholerae	strain=HfVC3		latest	Scaffold	Major	Full	2020/11/24	ASM1568671v1	ICDC	GCA_015686715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/686/715/GCF_015686715.1_ASM1568671v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
GCF_016403045.1	Vibrio parahaemolyticus	Vibrio-parahaemolyticus	Vibrio parahaemolyticus	PRJNA224116	SAMN16844329		na	670	670	Vibrio parahaemolyticus	strain=81TDH2		latest	Chromosome	Major	Full	2020/12/26	ASM1640304v1	Nitte University Centre for Science Education and Research	GCA_016403045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/403/045/GCF_016403045.1_ASM1640304v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
GCF_001035795.1	Pseudomonas aeruginosa	Pseudomonas-aeruginosa	Pseudomonas aeruginosa	PRJNA224116	SAMN03566411	LEIF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=Pae_CF67.10g		latest	Scaffold	Major	Full	2015/6/22	ASM103579v1	University of Toronto	GCA_001035795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/795/GCF_001035795.1_ASM103579v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_004351325.1	Pseudomonas aeruginosa	Pseudomonas-aeruginosa	Pseudomonas aeruginosa	PRJNA224116	SAMN10743747	SCYU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=96		latest	Scaffold	Major	Full	2019/3/14	ASM435132v1	University of Trento	GCA_004351325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/351/325/GCF_004351325.1_ASM435132v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_900144155.1	Pseudomonas aeruginosa	Pseudomonas-aeruginosa	Pseudomonas aeruginosa	PRJNA224116	SAMEA2357662	FRHC00000000.1	na	287	287	Pseudomonas aeruginosa		63	latest	Contig	Major	Full	2016/12/10	63	DTU	GCA_900144155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/144/155/GCF_900144155.1_63	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_900580845.1	Pseudomonas viridiflava	Pseudomonas-viridiflava	Pseudomonas viridiflava	PRJNA224116	SAMEA104471816	UTBX00000000.1	na	33069	33069	Pseudomonas viridiflava		p11.F11	latest	Contig	Major	Full	2018/11/1	p11.F11	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	GCA_900580845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/580/845/GCF_900580845.1_p11.F11	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas viridiflava
GCF_001144705.1	Streptococcus pneumoniae	Streptococcus-pneumoniae	Streptococcus pneumoniae	PRJNA224116	SAMEA1028688	CMFD00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=SMRU2823		latest	Scaffold	Major	Full	2015/7/14	7011_6#15	SC	GCA_001144705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/144/705/GCF_001144705.1_7011_6_15	NA		na	Bacteria	norank	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
GCF_001159305.1	Streptococcus pneumoniae	Streptococcus-pneumoniae	Streptococcus pneumoniae	PRJNA224116	SAMEA1032433	CNPE00000000.2	na	1313	1313	Streptococcus pneumoniae	strain=R34-3024		latest	Contig	Major	Full	2015/7/29	6930_8#18	SC	GCA_001159305.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/159/305/GCF_001159305.1_6930_8_18	NA		na	Bacteria	norank	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
GCF_002962065.1	Streptococcus suis	Streptococcus-suis	Streptococcus suis	PRJNA224116	SAMN08295919	PONM00000000.1	na	1307	1307	Streptococcus suis	strain=895		latest	Contig	Major	Full	2018/2/28	ASM296206v1	Huazhong Agricultural University	GCA_002962065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/962/065/GCF_002962065.1_ASM296206v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
GCF_009928295.1	Streptococcus equi	Streptococcus-equi	Streptococcus equi	PRJNA224116	SAMN12898352	WEDQ00000000.1	na	1336	1336	Streptococcus equi	strain=18-021		latest	Contig	Major	Full	2020/1/24	ASM992829v1	Texas A&M University	GCA_009928295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/928/295/GCF_009928295.1_ASM992829v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equi
GCF_000298675.1	Pasteurella multocida subsp. gallicida P1059	Pasteurella-multocida	Pasteurella multocida	PRJNA224116	SAMN02470591	AMBQ00000000.1	na	1169409	747	Pasteurella multocida subsp. gallicida P1059	strain=P1059		latest	Chromosome	Major	Full	2012/9/24	P1059v1	none	GCA_000298675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/675/GCF_000298675.1_P1059v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
GCF_001930895.1	Pasteurella multocida	Pasteurella-multocida	Pasteurella multocida	PRJNA224116	SAMN04366569	LQFV00000000.1	na	747	747	Pasteurella multocida	strain=3347PM	swab isolate 1	latest	Scaffold	Major	Full	2017/1/4	ASM193089v1	University of California, Davis	GCA_001930895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/930/895/GCF_001930895.1_ASM193089v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
GCF_004327765.1	Pasteurella multocida	Pasteurella-multocida	Pasteurella multocida	PRJNA224116	SAMN11019680	SJDX00000000.1	na	747	747	Pasteurella multocida	strain=232		latest	Scaffold	Major	Full	2019/3/5	ASM432776v1	Oklahoma State Universtiy	GCA_004327765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/327/765/GCF_004327765.1_ASM432776v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
GCF_018162435.1	Pasteurella multocida	Pasteurella-multocida	Pasteurella multocida	PRJNA224116	SAMN16809855	JADPRV000000000.1	na	747	747	Pasteurella multocida	strain=MOR19		latest	Contig	Major	Full	2021/4/27	ASM1816243v1	INRA, Unite de Recherche en Biotechnologie	GCA_018162435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/162/435/GCF_018162435.1_ASM1816243v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
